review,sentiment
"once she lets her love depraved leads meet , -lrb- denis ' -rrb- story becomes a hopeless , unsatisfying muddle ",0
stiff and schmaltzy and clumsily directed . ,0
a prolonged extrusion of psychopathic pulp . ,0
nice piece of work . ,1
"although i did n't hate this one , it 's not very good either . ",0
a fleet-footed and pleasingly upbeat family diversion . ,1
"but though he only scratches the surface , at least he provides a strong itch to explore more . ",1
"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman 's script stumbles over a late-inning twist that just does n't make sense . ",0
"too much of the movie feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks . ",0
"in the end , the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide . ",1
hollywood ending is the most disappointing woody allen movie ever . ,0
"while some of the camera work is interesting , the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ",0
"a sexy , peculiar and always entertaining costume drama set in renaissance spain , and the fact that it 's based on true events somehow makes it all the more compelling . ",1
psychologically savvy . ,1
ramsay and morton fill this character study with poetic force and buoyant feeling . ,1
"... no charm , no laughs , no fun , no reason to watch . ",0
"the journey is worth your time , especially if you have ellen pompeo sitting next to you for the ride . ",1
"charlie hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a dickensian hero . ",1
a literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed . ,1
one of the best movies of the year . ,1
"rouge is less about a superficial midlife crisis than it is about the need to stay in touch with your own skin , at 18 or 80 . ",1
the whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product . ,0
"it 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth . ",1
"then again , in a better movie , you might not have noticed . ",0
the thing just never gets off the ground . ,0
"in addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry . ",0
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . ",1
"nijinsky says , ' i know how to suffer ' and if you see this film you 'll know too . ",0
much of this slick and sprightly cgi feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings . ,1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline . ,1
a charming but slight comedy . ,1
"though writer\/director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance . ",1
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah . ",0
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight . ",0
"at its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture . ",1
"though the film is well-intentioned , one could rent the original and get the same love story and parable . ",1
"... a light , yet engrossing piece . ",1
charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions . ,0
"the film 's messages of tolerance and diversity are n't particularly original , but one ca n't help but be drawn in by the sympathetic characters . ",1
"in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects . ",1
trapped presents a frightening and compelling ` what if ? ' ,1
"the plot is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults . ",0
stealing harvard ca n't even do that much . ,0
it makes me feel weird \/ thinking about all the bad things in the world \/ like puppies with broken legs \/ and butterflies that die \/ and movies starring pop queens ,0
"amy and matthew have a bit of a phony relationship , but the film works in spite of it . ",1
"a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill . ",1
"klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed . ",0
what we get in feardotcom is more like something from a bad clive barker movie . ,0
"congrats disney on a job well done , i enjoyed it just as much ! ",1
viewers will need all the luck they can muster just figuring out who 's who in this pretentious mess . ,0
the movie 's vision of a white american zealously spreading a puritanical brand of christianity to south seas islanders is one only a true believer could relish . ,0
"all three descriptions suit evelyn , a besotted and obvious drama that tells us nothing new . ",0
the film does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard . ,1
"far too clever by half , howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another . ",0
"when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science , it does a disservice to the audience and to the genre . ",0
a reality-snubbing hodgepodge . ,0
"the mood , look and tone of the film fit the incredible storyline to a t. ",1
you 'd be hard put to find a movie character more unattractive or odorous -lrb- than leon -rrb- . ,0
laggard drama wending its way to an uninspired philosophical epiphany . ,0
norton is magnetic as graham . ,1
"it 's a glorified sitcom , and a long , unfunny one at that . ",0
"as in aimless , arduous , and arbitrary . ",0
"a deftly entertaining film , smartly played and smartly directed . ",1
"a mature , deeply felt fantasy of a director 's travel through 300 years of russian history . ",1
-lrb- moore 's -rrb- better at fingering problems than finding solutions . ,0
"though there are many tense scenes in trapped , they prove more distressing than suspenseful . ",0
"it has a way of seeping into your consciousness , with lingering questions about what the film is really getting at . ",1
the film proves unrelentingly grim -- and equally engrossing . ,1
it 's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies . ,1
showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation . ,1
what a pity ... that the material is so second-rate . ,0
"the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world . ",1
"shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience . ",1
"the piano teacher , like its title character , is repellantly out of control . ",0
does n't really add up to much . ,0
"films about loss , grief and recovery are pretty valuable these days . ",1
"plays like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story . ",0
"from the choppy editing to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line , `` besotted '' is misbegotten ",0
the emotional overload of female angst irreparably drags the film down . ,0
"as action-adventure , this space-based homage to robert louis stevenson 's treasure island fires on all plasma conduits . ",1
moore provides an invaluable service by sparking debate and encouraging thought . ,1
"the story plays out slowly , but the characters are intriguing and realistic . ",1
knows how to make our imagination wonder . ,1
a delightful entree in the tradition of food movies . ,1
"nothing happens , and it happens to flat characters . ",0
"an uplifting , near-masterpiece . ",1
the pool drowned me in boredom . ,0
the ring never lets you off the hook . ,1
"if you 're content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life , eisenstein delivers . ",1
"for veggietales fans , this is more appetizing than a side dish of asparagus . ",1
a comedy that swings and jostles to the rhythms of life . ,1
"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral . ",0
a sustained fest of self-congratulation between actor and director that leaves scant place for the viewer . ,0
"the predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances . ",0
lawrence plumbs personal tragedy and also the human comedy . ,1
an unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode . ,0
"bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen . ",1
"a compelling yarn , but not quite a ripping one . ",1
so boring that even its target audience talked all the way through it . ,0
"one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism . ",1
horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth . ,1
what ` blade runner ' would 've looked like as a low-budget series on a uhf channel . ,0
... one of the most entertaining monster movies in ages ... ,1
a small gem from belgium . ,1
comes off like a bad imitation of the bard . ,0
"while the filmmaking may be a bit disjointed , the subject matter is so fascinating that you wo n't care . ",1
undoubtedly the scariest movie ever made about tattoos . ,1
"a chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department . ",1
"the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year . ",1
"where tom green stages his gags as assaults on america 's knee-jerk moral sanctimony , jackass lacks aspirations of social upheaval . ",0
"if you 've the patience , there are great rewards here . ",1
less a study in madness or love than a study in schoolgirl obsession . ,0
director david fincher and writer david koepp ca n't sustain it . ,0
the trappings of i spy are so familiar you might as well be watching a rerun . ,0
"whether this is art imitating life or life imitating art , it 's an unhappy situation all around . ",0
"you come away thinking not only that kate is n't very bright , but that she has n't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another . ",0
"if it 's unnerving suspense you 're after -- you 'll find it with ring , an indisputably spooky film ; with a screenplay to die for . ",1
the locations go from stark desert to gorgeous beaches . ,1
"a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people . ",1
snipes is both a snore and utter tripe . ,0
my wife is an actress has its moments in looking at the comic effects of jealousy . ,1
"a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design . ",1
"nicks sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit . ",1
"the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates . ",1
a non-mystery mystery . ,0
"nair just does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy . ",0
"all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast . ",0
"is the kind of movie that 's critic-proof , simply because it aims so low . ",0
schnitzler does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . ' ,1
an average b-movie with no aspirations to be anything more . ,0
"call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity . ",1
he thinks the film is just as much a document about him as it is about the subject . ,0
the film is impressive for the sights and sounds of the wondrous beats the world has to offer . ,1
"rich in shadowy metaphor and as sharp as a samurai sword , jiang wen 's devils on the doorstep is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut . ",1
what 's so striking about jolie 's performance is that she never lets her character become a caricature -- not even with that radioactive hair . ,1
and he allows a gawky actor like spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range . ,1
"directed by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut . ",1
"it 's a wonderful , sobering , heart-felt drama . ",1
"in theory , a middle-aged romance pairing clayburgh and tambor sounds promising , but in practice it 's something else altogether -- clownish and offensive and nothing at all like real life . ",0
"apparently , romantic comedy with a fresh point of view just does n't figure in the present hollywood program . ",0
"an energizing , intoxicating documentary charting the rise of hip-hop culture in general and the art of scratching -lrb- or turntablism -rrb- in particular . ",1
"even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time . ",1
shafer 's feature does n't offer much in terms of plot or acting . ,0
"it lets you brush up against the humanity of a psycho , without making him any less psycho . ",1
the ending feels at odds with the rest of the film . ,1
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role . ,1
"this is rote spookiness , with nary an original idea -lrb- or role , or edit , or score , or anything , really -rrb- in sight , and the whole of the proceedings beg the question ` why ? ' ",0
truly terrible . ,0
"`` analyze that '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . ",0
why anyone who is not a character in this movie should care is beyond me . ,0
"there 's little to recommend snow dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity . ",0
"a so-so , made-for-tv something posing as a real movie . ",0
confessions is without a doubt a memorable directorial debut from king hunk . ,1
a terrific insider look at the star-making machinery of tinseltown . ,1
"certain to be distasteful to children and adults alike , eight crazy nights is a total misfire . ",0
a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell . ,0
but it also has many of the things that made the first one charming . ,1
"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate . ",1
"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere . ",0
bad movie . ,0
"a compelling pre-wwii drama with vivid characters and a warm , moving message . ",1
it is hard not to be especially grateful for freedom after a film like this . ,1
"fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal . ",1
"as improbable as this premise may seem , abbass 's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life . ",1
the worst film of the year . ,0
"reyes ' directorial debut has good things to offer , but ultimately it 's undone by a sloppy script ",0
"it 's like rocky and bullwinkle on speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness . ",0
a beautifully observed character piece . ,1
"its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there 's no time to think about them anyway . ",1
"it 's not particularly well made , but since i found myself howling more than cringing , i 'd say the film works . ",1
works as pretty contagious fun . ,1
"definitely a crowd-pleaser , but then , so was the roman colosseum . ",1
"the film is grossly contradictory in conveying its social message , if indeed there is one . ",0
`` solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work . ,0
feral and uncomfortable . ,0
"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here . ",0
eisenstein lacks considerable brio for a film about one of cinema 's directorial giants . ,0
"this is a poster movie , a mediocre tribute to films like them ! ",0
it 's that good . ,1
a funny film . ,1
australian actor\/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation . ,1
"narratively , trouble every day is a plodding mess . ",0
"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys . ",1
jackass is a vulgar and cheap-looking version of candid camera staged for the marquis de sade set . ,0
manages to be both hugely entertaining and uplifting . ,1
"... an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if lopez 's publicist should share screenwriting credit . ",0
"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow . ",0
"but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted . ",0
"throughout , mr. audiard 's direction is fluid and quick . ",1
"busy urban comedy is clearly not zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy . ",0
it 's hard to understand why anyone in his right mind would even think to make the attraction a movie . ,0
"hatosy ... portrays young brendan with his usual intelligence and subtlety , not to mention a convincing brogue . ",1
do n't even bother to rent this on video . ,0
a retread of material already thoroughly plumbed by martin scorsese . ,0
"a lot of the credit for the film 's winning tone must go to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him . ",1
ozpetek 's effort has the scope and shape of an especially well-executed television movie . ,1
"these self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation . ",0
this is an interesting movie ! '' ,1
i still want my money back . ,0
this 90-minute dud could pass for mike tyson 's e ! ,0
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement . ,1
"thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods . ",1
a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart . ,1
"but first , you have to give the audience a reason to want to put for that effort ",0
"fortunately , elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry . ",1
it 's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious . ,0
just send it to cranky . ,0
"in its treatment of the dehumanizing and ego-destroying process of unemployment , time out offers an exploration that is more accurate than anything i have seen in an american film . ",1
"a deliberative account of a lifestyle characterized by its surface-obsession -- one that typifies the delirium of post , pre , and extant stardom . ",1
"it 's immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do . ",1
"you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise . ",0
"a sense of real magic , perhaps . ",1
"it is a likable story , told with competence . ",1
"tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances . ",1
a noble failure . ,0
robert john burke as the monster horns in and steals the show . ,1
"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist . ",1
"coy but exhilarating , with really solid performances by ving rhames and wesley snipes . ",1
"soderbergh , like kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit . ",1
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts . ,0
heartwarming and gently comic even as the film breaks your heart . ,1
"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments . ",0
every note rings false . ,0
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1
"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis . ",1
moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured . ,0
"none of this is meaningful or memorable , but frosting is n't , either , and you would n't turn down a big bowl of that , would you ? ",1
"so beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1
one fantastic -lrb- and educational -rrb- documentary . ,1
"fifty years after the fact , the world 's political situation seems little different , and -lrb- director phillip -rrb- noyce brings out the allegory with remarkable skill . ",1
"build some robots , haul 'em to the theatre with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year . ",0
rifkin 's references are ... impeccable throughout . ,1
"director todd solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates . ",1
"muddled , melodramatic paranormal romance is an all-time low for kevin costner . ",0
"much of the lady and the duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes . ",1
as pedestrian as they come . ,0
"adroit but finally a trifle flat , mad love does n't galvanize its outrage the way , say , jane campion might have done , but at least it possesses some . ",0
a small independent film suffering from a severe case of hollywood-itis . ,0
its initial excitement settles into a warmed over pastiche . ,0
"at times , the movie looks genuinely pretty . ",1
"-lrb- ramsay -rrb- visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor . ",1
a complete waste of time . ,0
"the search for redemption makes for a touching love story , mainly because blanchett and ribisi compellingly tap into a spiritual aspect of their characters ' suffering . ",1
"if you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix , i have just one word for you - -- decasia ",0
one of the most exciting action films to come out of china in recent years . ,1
"... begins with promise , but runs aground after being snared in its own tangled plot . ",0
a hallmark film in an increasingly important film industry and worth the look . ,1
"as gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting . ",1
a sloppy slapstick throwback to long gone bottom-of-the-bill fare like the ghost and mr. chicken . ,0
marvelously entertaining and deliriously joyous documentary . ,1
"but on the whole , you 're gonna like this movie . ",1
"while this film has an ` a ' list cast and some strong supporting players , the tale -- like its central figure , vivi -- is just a little bit hard to love . ",0
"instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way . ",1
shankman ... and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story . ,0
"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice . ",1
"unfortunately , we 'd prefer a simple misfire . ",0
tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down . ,1
"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films . ",1
rarely has a film 's title served such dire warning . ,0
the sheer joy and pride they took in their work -- and in each other -- shines through every frame . ,1
an uninspired preachy and clich̩d war film . ,0
"there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity . ",0
"director jay russell stomps in hobnail boots over natalie babbitt 's gentle , endearing 1975 children 's novel . ",0
"who , exactly , is fighting whom here ? ",0
"about half of them are funny , a few are sexy and none are useful in telling the story , which is paper-thin and decidedly unoriginal . ",0
"if you like blood , guts and crazy beasts stalking men with guns though ... you will likely enjoy this monster . ",1
a remarkably insightful look at the backstage angst of the stand-up comic . ,1
"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . ",1
"gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing . ",0
enriched by a strong and unforced supporting cast . ,1
"i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ! ",0
"in the end , the film feels homogenized and a bit contrived , as if we 're looking back at a tattered and ugly past with rose-tinted glasses . ",0
this feature is about as necessary as a hole in the head ,0
earnest yet curiously tepid and choppy recycling in which predictability is the only winner . ,0
"like life on the island , the movie grows boring despite the scenery . ",0
an interesting look behind the scenes of chicago-based rock group wilco ... ,1
roman polanski 's autobiographical gesture at redemption is better than ` shindler 's list ' - it is more than merely a holocaust movie . ,1
"though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we 've seen before . ",0
"if you 're part of her targeted audience , you 'll cheer . ",1
"boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect . ",0
"thought-provoking and stylish , if also somewhat hermetic . ",1
"a relentless , bombastic and ultimately empty world war ii action flick . ",0
"it 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied . ",0
"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough . ",1
-lrb- westbrook -rrb- makes a wonderful subject for the camera . ,1
"unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making . ",0
