premise,hypothesis,label
A woman in a pink scarf is on a cellphone.,Talking on the cellphone is a woman who is wearing a scarf that is pink.,0
A blond girl in a purple shirt and plaid shorts playing with a string toy.,The girl is playing with a toy.,0
Two women talk while working with dough in a commercial kitchen.,A tiger runs through the jungle.,2
A girl wearing a white helmet is pouring water into glasses.,A girl is getting drinks for everyone.,1
two guys fighting playing hockey,The football players always fight.,2
A crowd of people underneath a Hi-Pointe neon sign.,A crowd of people stand under a sign in Las Vegas.,1
People gather on a bridge near a weeping willow tree.,The people are gathered in a fire station.,2
A girl in a petterned shirt is talking to a guy with a hat in a billiards room.,The girl is wearing a shirt.,0
A large crowd of people are walking.,A large crowd is touring a museum.,1
A girl bounces upside down on her head on a trampoline.,The trampoline has four kids bouncing at once.,2
A skinny woman is taking a picture.,Someone is photographing a lion at the zoo.,1
Teenage dancers perform at a competition.,Young people are putting on a show at an event.,0
Two children walking down a forest path.,There are trees nearby.,0
A man riding a wakeboard on a lake,A man is sitting on the deck at the lake.,2
a Guy in black is riding white motorcycle.,There are two people on the motorcycle.,2
Men dressed as Santa clause walking down the street.,Men dressed as Santa Clause are outdoors.,0
Man throwing an object into a body of water.,The man is drowing.,2
People gathered around a table.,People are gathered around an injured animal.,2
Several girls in ballet outfits posing at a balance bar.,The girls are indoors.,1
A group of athletes in blue short-and-shirt uniforms huddle together on a field.,The softball players huddle for a short speech before the game.,1
Three dogs are playing with a red ball in a field.,Dog play outdoors.,0
Two girls are climbing on an artificial climbing wall that is floating in a lake.,GIRLS PLAY IN THE FOOTBALL GROUND,2
A man wearing a hula skirt stands on the shore with the ocean behind him with 2 rows of pigs lying on their backs.,a guy wears a grass skirt in front of dead pigs,0
A woman jumps over a park bench while throwing leaves in the air.,The lady tosses a handful of colorful autumn leaves.,1
"An older woman sits between another woman and child, while doing some type of craft work.",some old lady does crafts near two other people,0
Two young girls are playing large string instruments and intently looking at their music sheets which are being held on music stands.,Two girls are swimming in a pool.,2
This bathtub is not staying in the old house.,The dog is running home.,2
A large brown dog and a larger black dog playing together with a ball.,The two dogs are sleeping.,2
Two girls and six boys are standing by the carnival stand with stuffed animals hanging from above.,Children are gathered at a carnival.,0
"An older lady in a colorful dress, leather jacket, and black hat sits on a bench in front of an ancient-looking wall.",the lady is a presenter,2
A child wearing a costume rides a bike in winter.,A child is sitting on the ground.,2
A group of guys swimming in red trunks.,A group of guys swimming.,0
Pale people dressed in swimwear mill around a wooden sweat lodge in the middle of a forested area.,The people are on vacation.,1
Man in bright yellow vest displays bicycle safety information on street.,The men are crossing guards.,1
children smiling with facepaintings,Some kids are sleeping.,2
"A lady in black, Victoria L. Leak, sitting on her desk with her glasses off.",The lady is sitting down.,0
A group of men trying to catch something in the air.,A group of men sleeping,2
Tourists walk and gather in a crowded city.,The tourists are watching a protest.,1
A boy who seems ill is being touched in the face by a toddler.,A baby toddler is touching the boys face,0
A grandmother is watching her daughter and grandson play with trains in a living room.,The woman is watching her pet bird.,2
A woman is creating a beautiful and colorful garment.,A lady running in a marathon.,2
A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand; surrounded by numerous amounts of machines.,A man sitting on the beach drinking his tea.,2
A group of Event Staff move in and around two stalls covered in target logos in front of a building with arched windows.,A group of Event Staff move in.,0
A little child is trying to feed his mom a piece of messy cake.,The child is eating the cake.,1
A biker in a white helmet is riding on top of some sand by a fence.,A biker rides on sand near a fence.,0
A man wearing black and white stripes is trying to stop a horse.,The man is trying to slow the animal.,0
Group of children and an adult male laying on the floor with balls on their heads.,A group of people are laying on the floor.,0
Three well dressed individuals talking.,Three people are shown talking.,0
A soccer referee is holding a yellow flag.,Soccer players await the referee's decision.,1
A man stands outside of a beautiful building wearing a neon green construction jacket.,A man is taking pictures.,1
a couple is ridding a public bus to the mall.,Two people on public transportation.,0
"A crowd of people look at something out of frame, one man takes a picture.",A group of people watch something off camera,0
"Four military men, two injured with bandages showing, whose fatigues read ISAF are pictured.",Two men were shot.,1
A man looks through a large camera-like device in a field near a camper and some parked vehicles.,The man's camera has 32x zoom.,1
A man in zombie makeup is pretending to eat a brain.,The man is pretending.,0
A woman pushing a baby stroller is holding the hand of a young child with a white backpack.,Nobody is pushing.,2
A young girl holding balloons in a crowded street.,A girl is celebrating with the crowd at the parade.,1
A bald man putting on a red shirt.,A male with no hair.,0
The dashboard of a car with a brown dog toy and a pink doll.,Toys sit on a cars dashboard,0
Two Asian women wearing traditional head garb survey a garden.,Two women are drinking tea in a kitchen.,2
"A stone dock and a couple hugging at the end, water behind.",They can't stand each other.,2
Woman dressed in red standing in front of air force men standing in the background.,A woman in red stands in front of air force men.,0
A boy stands in the road wearing a big red hat.,The boy's hat was purchased yesterday,1
A little child is sitting next to a beige colored dog.,A child is near a dog.,0
"A young boy, wearing shorts and a red tank top, is sliding down a mountain of snow, riding a board on his belly.",A boy is sliding down a mountain of snow.,0
A brown dog swims through water outdoors with a tennis ball in its mouth.,A dog paddles outside carrying a ball.,0
A person is standing on jagged rocks above the water below.,A person is skydiving.,2
A man is looking through a telescope in jeans and cowboy boots while there is a tent behind him.,Nobody is looking,2
Two girls with flip-flops are riding on a flying swings ride.,Two girls riding on a flying swings ride and having fun,1
A little boy is jumping into an outdoor kiddie pool,A human jumping,0
A person riding a gray horse who has just jumped.,a dog barks,2
A young boy lays in a bed of stuffed animals.,A boy is lying down.,0
A child with a skull on his shirt is sitting in front of some plants and a building and is holding onto handlebars.,A kid is playing on the monkey bars.,2
A boy on the beach casts a fishing pole in the water.,The boy is running on the beach.,2
People waiting to get on a train.,The train is being delayed.,1
A man posting a sign indicating the name of the building.,A man holds a sign which says Pizza Hut.,1
"A worker, dressed in safety gear, standing on a walkway on a tower.","The worker is sitting on a curb, eating a sandwich.",2
A man with a red bandanna is holding an object and is surrounded by many other people.,A woman eats Froot Loops alone on a beach.,2
A man in an orange vest is working with wires on a subway.,A sad man in an orange vest is working with wires on a subway.,1
The dog runs through the water with a stick in its mouth.,A dog retrieves a shot bird.,2
A jogger runs up brick stairs for streght training.,A jogger runs up the stairs preparing for a marathon.,1
A woman in a white shirt prepares a large meal of hamburgers.,A woman is cooking burgers on a grill.,1
A boy in a blue shirt runs while smiling.,boy chases dog,1
A little girl wearing a black tankini is jumping in the air with water in the background.,A kid is jumping.,0
A person wearing slacks and a backpack climbs a ladder up the side of the rock face of a gorge.,The person's backpack has granola in it.,1
A man is walking with a guitar case.,A man is watching TV.,2
An Indian man and woman are seated in the back of a red car.,An Indian man and woman sitting in the red car.,0
A baseball pitcher dressed in a blue and white jersey pitches a baseball.,The baseball pitcher is on a football field.,2
Two people are talking outside of the video game shop next door to the mobile phone store.,Two people are outside.,0
This is a young guy reaching for a falcon on a perch.,A man love birds.,1
A helmeted man driving a motorbike with a toddler and woman on the seat is talking to another man in front of a gated area.,A man is taking his family out on his motorbike.,0
"A child in a black overall karate costume with a red front and yellow bird on it, attacking.",The child is reading a book.,2
A man wearing an orange jumpsuit and gray sweatshirt works on the side of a railroad track.,The man is a convict working his hours for community service.,1
"Group singing and dancing on a staged dressed in red, white and blue.",A group is performing at a Fourth of July party.,1
There is a duet being performed by a male on a trumpet and a lady singing.,A man and woman are performing a duet.,0
An old woman with a gray hat sits on the gravel covered ground in front of large stone blocks knitting a sock.,"An old homeless lady knits a sock from plastic bags, using sticks as knitting needles.",1
a dog tries to bite another dog.,A dog is eating food.,2
"In a crowd of young people at a bar, a man stands displaying the rock and roll sign.",A man is eating by himself.,2
"A young woman with a surprised look on her face, sits on a chair along the sidewalk and knits an item from a white ball of yarn.",A young woman is surprised by a dog aggressively approaching her while she sits in a chair on the sidewalk.,1
A man in a blue shirt wearing glasses uses a thin paintbrush to paint on a large canvas.,An artist creating his next masterpiece.,1
A man with a cowboy hat and gun leans on a mule in front of a mountain.,A band is performing on stage.,2
"Two students try to walk a tightrope on a campus quad, but one falls off.",The two students shuffle across a tightrope suspended fifty feet in the air.,1
A band with a female singer performs on stage with a guitarist wearing a green jacket.,The band is performing at the community festival.,1
People with umbrellas are walking through the streets.,There are people carrying umbrellas to shield from the rain.,1
A young asian girl is sliding down a pole on outdoor playground equipment.,A young asian girl wearing a dress is playing outside on the playground,1
Girl in pink soccer outfit throws pink ball.,A girl throws a pink ball to her dog.,1
"Two dogs, one white and one black, play with each other in the sand.",Two dogs are playing in the sand.,0
A gymnast is performing in front of four judges.,There is a gymnast performing.,0
Five men wearing hats are sitting in a circle playing various horn instruments.,men playing game.,2
There is a little boy with a black and white striped shirt sitting outside.,A child is sitting outside waiting and wearing a black and white striped shirt eating,1
A couple stand close together observing the sun setting.,The man stands alone,2
Large white poodle carrying a pink flip-flop outside.,A dog outdoors.,0
A group of street workers are renovating an area near forestry.,A group of workers are renovating an area near forestry.,0
A wetsuit-clad surfer jumps a wave.,A diver is snorkeling.,2
The bull throws the rider in a rodeo.,A man rides a horse at a rodeo.,2
A beefy guy with short brown hair in a beard is laying in a bathtub with his hands clasped behind his head.,A man is resting is the tub.,0
A man weaves fibers together while seated on a stool,A man is weaving a basket.,1
Two black women are watching a performance.,There are at least two women.,0
"Two young boys are sitting in a canoe, the one in the foreground is holding a medium sized fish.",Two boys are sky diving,2
Two children playing in the snow near a stack of logs.,Two children are outside.,0
A rock climber makes his way up the mountain.,The climber is climbing a swingset.,2
A man and a woman laugh together by a white door.,Two men chat over beer by the white door.,2
Construction workers stand near tracks at night.,A group of construction workers have been called out to a railway yard at midnight because some equipment collapsed.,1
Some people are swimming in water; one has goggles on.,No one is wearing goggles.,2
A man sleeping on a couch in front of a glass table.,The man is doing jumping jacks.,2
"A group of people, of all ages, listening to a concert being performed by a solo practitioner.",A person is performing for an audience.,0
Construction workers are busy working while people are walking by.,The construction workers are taking lunch breaks.,2
a kayaker wearing yellow fights the rapids.,The man is kayaking on a calm river.,2
a white and brown dog is running up a grassy hill.,The dogs are brothers.,1
Three african american women are dressed in bright orange and brown dresses and headscarves.,Three women in brightly colored attire are having lunch.,1
Two people are eating in a room.,Nobody eating.,2
A man and boy play in the sand.,A boy and a man play in the sand.,0
A woman in a black skirt suit is speaking with another woman in a boat.,Two women sit silently on a boat as it crosses a river.,2
A person rides a moped while women sit on a bench surrounded by pigeons.,There are several birds,0
someone is cutting an onion,A person has tears in their eyes.,1
A black man holding up a sign while standing in a crowd of people.,A man stands in a crowd with a sign.,0
A man in military fatigues is assisting another man who is lying on the ground in front of a row of parked cars.,A tall human assisting.,1
Three little boys on a float in a river.,a trio of young boys play on  a river,0
Two women outside a white building enjoying alcoholic beverages.,Two ladies are drinking booze outside.,0
A young child playing outside with toys.,The child throws a ball.,1
Men are working near a dock.,men work inside a library,2
A man in a red shirt plays a red bass while on stage.,A man playing music.,0
Several people in a semicircle are holding folders and singing in a wooded area with many people in the background.,People dressed all in white standing in the woods singing,1
Two guys hold up a flag at a festival.,Two guys that are brothers are at a festival.,1
Four women are sitting against a home while a woman in a white skirt walks away.,Some women are sitting on a couch inside.,2
A man is wearing a black jacket and has on headphones.,The man is fighting.,2
An Ultimate Frisbee player leaps toward the orange cone.,An ultimate frisbee player leaps,0
A young girl sitting on a pummel horse and straddling it with her legs.,A girl sitting on a pummel horse.,0
"The child has blue and black face paint on, and is wearing a paper crown.",The child has face paint on,0
"Two young men in a living room holding hands while facing each other, jumping in the air and kicking their legs back.",In the house there are some young people doing jumping exercises while holding on to each other,1
A black dog runs with a ball in its mouth.,The dog is sleeping in its bed,2
After being thrown in the air a young man dressed in a blue t-shirt and black shorts is getting ready to be caught by other young men in the same type of t-shirt and black shorts in a gym with Softball Championship Banners hanging high in the background.,A man was thrown in the air.,0
a man holds his snowboard in the sand.,A man is selling snowboards made out of sand in Paris.,2
A man with a purple tie is singing into a microphone.,A man is singing into a microphone.,0
A boy dressed in yellow runs in a street in front of a blue wall.,A boy runs outside.,0
A man in a blue workers outfit with a yellow construction hat examines the side of a brick building from the top of a ladder.,A man is sleeping at his house.,2
People sitting on seats by orange pole,Some humans sitting.,0
Three women sitting and talking in a tiled area under a sign Jane.,two men sit and talk in a tiled area under a sign that says Jane,2
A smiling girl in a striped shirt sits next to a boy in a car.,A man is dancing,2
The lady takes a picture of the little girl on the ride.,The lady is sleeping in the grass.,2
There is only one white uniformed lacrosse player in sight with two red uniformed players actively chasing her.,There are two white uniformed players in sight.,2
A man skis past another man displaying paintings in the snow.,"There are two men smiling at each other, in the snow.",1
There are a bunch of students studying hard.,The students are enjoying Spring Break right now and do not care about their studies at the moment.,2
People sitting in pews and walking around the inside of a cathedral.,People are in a cathedral.,0
An exciting race and a beautiful horse track.,The horse race was very exciting and the track was beautiful.,0
"This red color bike is very nice, I would like to have one.",The bike is blue.,2
A young women shearing a sheep.,A lady shears a sheep.,0
A man in a red uniform is standing in front of a train station sign.,A man is standing in front of a sign.,0
Children and their parents climbing a metal tower.,A group of people are climbing a metal tower.,0
A man in a red apron sells snacks and toys from a cart.,A vendor is selling ice cream from a cart.,1
The person on the bicycle is wearing red.,The person has clothing on that is red.,0
An intersection where many people are crossing the street that has black and white striped poles.,The intersection is a six-way stop,1
A dark-skinned man wearing a white smock and cutting up meat.,There is a man cutting up meat.,0
Young boys dressed as confederate soldiers walking in a parade in the rain.,People are outdoors while rain falls from the sky.,0
A girl bending backwards holding her hat.,A woman is exercising with a hat,1
Two women are sitting in chairs.,two ladies are seated in chairs,0
A man opening a door and looking out.,The man is waiting on a pizza.,1
A child reaches the bottom of an inflatable slide.,a child is reaching the slide,2
A band is performing on a stage.,The band is very popular and their concert is sold out.,1
Two girls are in a bathing suits.,Some girls are in their birthday suits.,2
Two people with baseball jerseys who are jumping in the air.,There are two men playing ball.,1
A young woman is standing under a street sign.,The woman is outdoor.,0
A hallway is littered with ladders and fabric during construction., A hallway full of ladders and fabric during construction.,0
A man in black shorts walks with a child with orange arm inflatables through a small body of water.,a father teaches his son to swim,1
A small child slides down a purple slide.,The young boy laughs gleefully as he goes down the slide.,1
"A young boy and girl wearing coats, hats, and boots are at the beach looking at something that they found.",A young boy and girl just found gold by digging in the sand,1
"One man is playing a guitar, another is playing the keyboard and the last is playing a trumpet.",A clarenet is being played.,2
A few men on a boat in the ocean with a flock of seagulls nearby.,Fishermen on a fishing boat try to keep seagulls away from their catch.,1
A blond girl in a swing wearing Crocs.,A girl isn't having fun on a swing.,1
A man in taking a photo of a building as someone rides by on a bike.,A man is taking pictures,0
A closeup of a little girl on a swing.,Someone is swinging.,1
A bald man is sitting on a rock next to a woman in a black jacket.,A man and a woman are sitting next to each other at the grand canyon.,1
A smiling man in naval officers uniform stands next to a woman with purple hair.,The man does not have his uniform on.,2
A person is walking down a berry picker trail.,"There is one person in this picture, and they are outside.",0
A man is standing in front of a Prince St. Cafe.,A tall man.,1
A person is laughing on a roller coaster ride.,A person is on a roller coaster ride.,0
a boy pushes a wagon full of pumpkins.,A boy is pushing a vehicle filled with vegetables.,0
A group of people sitting beside a large beautiful fountain.,Some huge humans sitting.,1
A man about to throw a toy for a dog to go and fetch.,the dog catch the toy,1
A man in a red shirt is rolling up the sleeve of a jacket that is lying on his cars front seat.,A man is ironing his shirt.,2
A man and a woman both wearing helmets and the woman is also wearing a mask.,A woman has at least part of her face covered.,0
Ralley cars muscle for position on a dirt track.,Racecars competing in a race,0
A boy in an orange shirt and baseball cap sits in a grassy field next to a black ball.,There is a boy outdoors.,0
A woman in a pink shirt is trying to catch another woman as she slides into a baseball base.,The women are playing baseball.,0
"A man wearing a black t-shirt, with a black bandanna on his head, dark glasses and a beard is playing an electric guitar outdoors with a microphone in front of him, while another man in a gray hat and purple shirt is behind him along with a drum set, and two other guitar players are partially visible on either side.",A band is indoors on a stage without any equipment.,2
Several people sit at a table in formal clothing.,People are enjoying a fancy meal at the table.,1
Several people are on a boat in the ocean with scuba gear.,the people are getting ready to scuba dive for a documentary,1
"There is a woman and man wearing orange shirts, playing instruments with sheet paper in front of them.",A man and a woman are playing saxophones.,1
Soccer players speaking with referee during a game.,The soccer players are asleep at home.,2
Two children are in a pool with a beach ball floating nearby.,Two children are in a forest.,2
"A referee, on rollerskates, sweeps a gym floor.",A man with a mop and rubber boots cleans a bathroom floor,2
Young people out to dinner at a chinese restaurant,The restaurant has a young couple.,0
A man tends a grill full of cooking chicken parts as another man in a white apron looks on.,Someone is cooking.,0
A pair of boots are worn by a woman wearing orange tights.,The lady is wearing flip flops,2
A young blond woman sitting atop a brown draft horse in the snowy mountains.,A woman riding a bike.,2
Customers are waiting for service at a takeout window.,Customers are shopping at a grocery store.,2
A father and son are feeding the birds on a spring day.,A father and son are at the park.,1
The street vendor cheerfully sells food to a crowd of hungry customers.,The food is tasty,1
A young child and a dog are playing in the snow.,a child and dog playing,0
A woman looking across the New York harbor.,A women is eating snack while looking at the harbor,1
A woman in jeans is preparing to throw a bowling ball down the bowling alley.,A woman in jeans is preparing to throw a ball.,0
"A white man with black hair dressed nicely in gray dress pants, blazer and purple tie stands on the street in front of a garage flipping a pancake which is captured in midair.",a guy is cooking pancakes by his garage,0
A sailor in his boat with mountains in the background.,A man driving in the sunset.,2
A boy doing a back flip off of a sand dune.,A boy is going to land the back flip.,1
Two people hugging while two other people stare down on them.,Everyone is ignoring the hugging couple.,2
A woman stands outside near an elaborate chalk illustration.,The woman can't use chalk.,2
Two blond men rocking out on a dark stage.,There are two men and music playing.,0
A man in a white shirt holds a gun as his woman and infant son look on.,The man is possibly dangerous.,1
Two boys playing together at a playground.,Two boys are close friends.,1
Men sit outside in front a craft kiosk.,The people are inside the theater.,2
A man in a red shirt is rolling up the sleeve of a jacket that is lying on his cars front seat.,Man packing up clothing for a trip.,1
a woman in a fur coat and hat is looking at flowers,A man is shopping for tools.,2
There is a large building in the background and there are lots of people and some of them are setting up cots with blankets on them.,The people setting up cots are getting ready to camp for a concert.,1
Young man in a black shirt smokes on a sofa in a colorful room,The man is outside.,2
Brown dog jumping over a bar on a grassy field.,Brown dog jumping for a ball.,1
Two young boys dressed in shorts are looking for something.,Two boys search for an object.,0
Collie making a jump over a yellow hurdle.,A dog makes a jump over a hurdle in a competition.,1
Two men on laptops in a dark room.,Two men are using desktop computers.,2
A dark-haired woman is placing a label on a cigar.,A woman makes cigars.,1
A young child being hugged by a woman with light brown hair.,A mother is hugging her child.,1
Two dogs are running across a grassy field.,Two dogs are laying in a grassy field,2
A man in an orange jacket stands on sand with a blue sky background.,A man is looking contemplative.,1
Three men playing a board game.,The men were plotting the ruin of all while playing Monopoly.,2
The street entrance to a subway tunnel.,People in raincoats enter the subway tunnel entrance.,1
Two people can be seen in the distance in an alley between two large buildings.,Two people stand in an alleyway.,0
A man on Rollerblades travelling down the sidewalk.,The man is upside down.,2
A cat sitting next to a person who has black pants and pink flip-flops on.,A cat waits patiently for its owner to feed him.,1
A man in a red shirt has a camera hanging from around his neck.,A man in a red shirt is using a camera.,0
A group of people wearing black shirts and one in a white shirt watching another person sitting on the ground in front of them.,Everyone is dressed the same in the room.,2
A group of men wearing hard hats and orange reflector vests are commemorating an event.,the men are asleep in the motel,2
"Two men in hoodies loiter on the steps of an imposing looking public building next to a statue of a man and a lion,.",Two men in hoodies loiter in an alleyway.,2
Several people are standing in a crowded urban environment.,A group of people in a quiet area are sitting on the bench.,2
A couple sit on the grass with a baby and stroller.,There are people sitting outside watching others,1
A young female swimmer is receiving a consolatory hug from a coach.,A fat female swimmer is receiving a consolatory hug from a coach.,1
A man helps the bride standing near the car.,A person helps the bride standing near the car.,0
a man is being photographed by another man while others around him are preparing for a parade,The man taking pictures is flying through the air on a jetpack.,2
A man standing out front of a pizza restaurant with boxes in front.,A man is outside a pizza joint with boxes,0
People getting water from a lake.,There are people  indoors,2
A man wearing a gray t-shirt is standing beside a parking meter with a truck and small tree in the background.,The man is riding a surfboard while trying to keep his balance.,2
A little girl is walking by the beach in blue and red rain boots.,A little boy plays in the sand on a beach.,2
Small groups of people are walking over a bridge.,People are at Walmart.,2
Man with purple sweater at the top of a skateboard ramp.,A man performs a skateboarding trick.,0
Two people on a street; one sitting on the planter surrounding a tree.,People are by the trees in the street.,1
"Three people, two dragging luggage and one carrying a backpack, are walking along a walkway that is well lit.",Three people are carrying their luggage through the airport trying to find a ca.,1
A little girl in a red shirt pulls a kite.,A boy bikes with his kite to the park.,2
Two boxers punch each other in the face at the same time.,A dog cries at the moon.,2
A woman in a red shirt plays a cello.,A person is playing an instrument.,0
A man in religious attire is looking at something on the street.,A priest stares at garbage on the street.,1
A older male is working on a snow truck.,A man plows snow after a massive snow storm.,1
A referee in an international soccer match discussing a recent foul with players from each team.,The soccer match is only for local citizens.,1
A group of merchants hawk there produce to the public.,The group of merchants are selling clothing.,2
The two men in suits and safety gear are overseeing construction.,Two bosses oversee construction.,1
A red and white car is overturned on a dirt track.,The car is not upright.,0
A lady with sunglasses on her head is wearing a blue top with a black top on top of it and is walking behind a man wearing a pink shirt.,The two people walking are married.,1
A couple dances at a disco.,People in a building,0
Entertainers at a Renaissance Fest being watched by spectators.,Entertainers at a Rock Concert being watched by the Police.,2
Two girls with dark hair and white shirts.,Two girls with dark hair and white shirts are friends.,1
A crowd of people are passing a person over their heads at a music concert.,There is a crowd of people.,0
A boy holding a ball falls down in front of another boy who has his arms reaching out while an older man in a green shirt smiles and watches.,Two boys play football while their grandpa happily watches.,1
Young white male preparing food on the stove top.,A young make is cooking food,0
A man is looking into a telescope over a balcony.,A bird is sitting in a tree.,1
Three young girls dressed in white dresses run towards a fountain.,There are girls outside.,0
A man lays on the grass in a field and reads a book.,A man lying down in open.,0
"Two dogs fighting in a forest, with the legs of two men in jeans in the background",The two dogs are play fighting outside.,1
Several people in colorful clothing are working in a garment facility with a quantity of red fabric on tables.,The people are outside.,2
A woman in a small pink bikini chats on a cellphone while a man looks on outside a city shop.,The people are in a restaurant.,2
A man grins holding up a handful of red packets spread out like cards.,The man has a bunch of red packets in his hands.,0
